iter	Passed	Remaining
0	0	69
1	1	65
2	1	61
3	2	57
4	2	56
5	3	56
6	4	55
7	4	54
8	5	54
9	6	54
10	6	53
11	7	53
12	7	53
13	8	52
14	9	52
15	9	51
16	10	51
17	11	50
18	11	50
19	12	49
20	13	48
21	13	48
22	14	47
23	14	47
24	15	46
25	15	45
26	16	44
27	17	44
28	17	43
29	18	42
30	19	42
31	19	41
32	20	41
33	20	40
34	21	39
35	22	39
36	22	39
37	23	38
38	24	38
39	25	37
40	25	37
41	26	36
42	26	35
43	27	34
44	27	34
45	28	33
46	29	33
47	30	32
48	30	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	20
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	46	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	50	11
82	51	10
83	51	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
